"brukercode","acquisition_date","acquisition_time"
"2017_11_23T13_35_45","2017-11-23","13:37:14"
"2017_11_23T13_35_45","2017-11-23","13:37:17"
"2017_11_23T13_35_45","2017-11-23","13:37:20"
"2017_11_23T13_35_45","2017-11-23","13:37:23"
"2017_11_23T13_35_45","2017-11-23","13:37:26"
"2017_11_23T13_35_45","2017-11-23","13:37:29"
"2017_11_23T13_35_45","2017-11-23","13:37:31"
"2017_11_23T13_35_45","2017-11-23","13:37:34"
"2017_11_23T13_35_45","2017-11-23","13:37:37"
"141250_1","2017-11-17","09:56:52"
"141613_7","2017-11-17","09:56:56"
"141614_5","2017-11-17","09:57:00"
"141620_1","2017-11-17","09:57:04"
"141622_4","2017-11-17","09:57:08"
"141691_1","2017-11-17","09:57:11"
"141693_1","2017-11-17","09:57:15"
"141701_1","2017-11-17","09:57:18"
"141743_1","2017-11-17","09:57:22"
"141746_1","2017-11-17","09:57:26"
"141801_1","2017-11-17","09:57:32"
"394c23d6_55a9_44b1_bff0_5c2fbf16636e","2017-12-08","14:21:02"
"ATCC_as_1","2017-12-28","14:29:16"
"ATCC_1","2017-12-28","14:29:19"
"2017_12_28T14_26_56","2017-12-28","14:28:36"
"2017_12_28T14_26_56","2017-12-28","14:28:39"
"2017_12_28T14_26_56","2017-12-28","14:28:42"
"2017_12_28T14_26_56","2017-12-28","14:28:45"
"2017_12_28T14_26_56","2017-12-28","14:28:48"
"2017_12_28T14_26_56","2017-12-28","14:28:51"
"2017_12_28T14_26_56","2017-12-28","14:28:53"
"2017_12_28T14_26_56","2017-12-28","14:28:56"
"2017_12_28T14_26_56","2017-12-28","14:28:59"
"BTS","2017-12-28","14:29:12"
"2d5b71bb_6bb9_4a0b_95c0_df9907ca1703","2017-12-28","14:29:08"
"404185_7","2017-11-15","09:14:55"
"404217_2","2017-11-15","09:14:59"
"404217_3","2017-11-15","09:15:02"
"404218_1","2017-11-15","09:15:05"
"RV_1","2017-11-15","09:14:51"
"c2505d2a_d125_4f77_8e3d_b478d971988d","2017-11-15","09:14:47"
